month,sample_size,nucleotide_diversity,country
2022-04-01,748,9.402605537365084e-4,USA
2022-05-01,765,8.803097684554742e-4,USA
2022-06-01,822,0.00108004333967896,USA
2022-07-01,841,6.983265680925717e-4,USA
2022-08-01,851,4.399316578445794e-4,USA
2022-09-01,827,6.616525377682553e-4,USA
2022-10-01,813,0.00103280345825046,USA
2022-11-01,784,0.00136653616253661,USA
2022-12-01,776,0.00179547287436761,USA
2023-01-01,746,0.00281057651473972,USA
2023-02-01,720,0.00193012758263819,USA
2023-03-01,648,0.00119487845599044,USA
2023-04-01,626,9.31090951044008e-4,USA
2023-05-01,664,0.00109752795010444,USA
2023-06-01,616,0.00136870097096108,USA
2023-07-01,665,0.00159856800970172,USA
2023-08-01,669,0.00172754468196699,USA
2023-09-01,705,0.00184901608469368,USA
2023-10-01,657,0.00231372671584801,USA
2023-11-01,680,0.00316514102539744,USA
2023-12-01,651,0.00601568753410828,USA
2024-01-01,666,0.00346067774077191,USA
2024-02-01,632,9.521580445616108e-4,USA
2024-03-01,557,0.00130385566254081,USA
2024-04-01,540,0.00110191382479711,USA
2024-05-01,525,0.00147348549386112,USA
2024-06-01,559,0.00128917382418664,USA
2024-07-01,603,0.00119727626056288,USA
2024-08-01,615,0.00119882336692171,USA
2024-09-01,609,0.00114032413411056,USA
2024-10-01,609,0.00113336597517717,USA
2024-11-01,606,0.00132271429300746,USA
2024-12-01,611,0.00148952291840216,USA
2025-01-01,639,0.00178767695499505,USA
2025-02-01,630,0.00198864310081703,USA
2020-03-01,925,1.8602726756378456e-4,Canada
2020-04-01,903,2.228017739002264e-4,Canada
2020-05-01,929,3.174924667219554e-4,Canada
2020-06-01,340,4.229065057797792e-4,Canada
2020-07-01,514,3.562218849841957e-4,Canada
2020-08-01,975,4.701031005402989e-4,Canada
2020-09-01,950,4.141009387246908e-4,Canada
2020-10-01,969,6.176188907670275e-4,Canada
2020-11-01,948,7.415139394567394e-4,Canada
2020-12-01,929,8.920182877427657e-4,Canada
2021-01-01,926,0.00106413059732663,Canada
2021-02-01,887,0.00139744215066344,Canada
2021-03-01,879,0.00205848543395722,Canada
2021-04-01,836,0.00253658019926234,Canada
2021-05-01,904,0.00261172967357303,Canada
2021-06-01,849,0.002817011297548,Canada
2021-07-01,867,0.00179230310205211,Canada
2021-08-01,808,6.852333814207604e-4,Canada
2021-09-01,868,5.59081313832192e-4,Canada
2021-10-01,909,5.042375366303103e-4,Canada
